frag_id,charge,spin_multiplicity,fragment
frag124,0,1,[H]O[O+]([C-]([H])[H])[C@@]1([H])OC1([H])[H]
frag125,0,1,[H]O[O+]([C-]([H])[H])[C@]1([H])OC1([H])[H]
frag126,0,1,[H]O[C-]1[O+](O[H])C([H])([H])C1([H])[H]
frag127,0,1,[H]O[O+]1C([H])([H])O[C@@]1([H])[C-]([H])[H]
frag128,0,1,[H]O[O+]1C([H])([H])O[C@]1([H])[C-]([H])[H]
frag129,0,1,[H]OO[C@@]1([H])OC([H])([H])C1([H])[H]
frag130,0,1,[H]OO[C@]1([H])OC([H])([H])C1([H])[H]
frag131,0,1,[H]O[O+]1C([H])([H])[C-]([H])[C@]1([H])O[H]
frag132,0,1,[H]O[O+]1C([H])([H])[C-]([H])[C@@]1([H])O[H]
frag133,0,1,[H]O[O+]1O[C@@]1([H])C([H])([H])[C-]([H])[H]
frag134,0,1,[H]O[O+]1O[C@]1([H])C([H])([H])[C-]([H])[H]
frag135,0,2,[H]C1([H])[O+]2O[C@@]2([H])C1([H])[H]
frag136,0,2,[H]C1([H])[O+]2O[C@]2([H])C1([H])[H]
frag137,0,1,[H]O[O+]1[C-]([H])C([H])([H])[C@]1([H])O[H]
frag138,0,1,[H]O[O+]1[C-]([H])C([H])([H])[C@@]1([H])O[H]
frag139,0,1,[H][C-]1[O+]([O+]([H])[O-])C([H])([H])C1([H])[H]
frag140,0,1,[H][C-]([H])C([H])([H])C1([H])O[O+]([H])O1
frag141,0,1,[H]O[C@]1([H])[O+]([O-])C([H])([H])C1([H])[H]
frag142,0,1,[H]O[C@@]1([H])[O+]([O-])C([H])([H])C1([H])[H]
frag143,0,1,[H][C-]([O-])[O+]1[O+]([H])C([H])([H])C1([H])[H]
frag144,0,1,[H][O+]([H])[O+]1[C-]([O-])C([H])([H])C1([H])[H]
frag145,0,1,[H][O+]1O[C@@]([H])([O-])C([H])([H])C1([H])[H]
frag146,0,1,[H][O+]1O[C@]([H])([O-])C([H])([H])C1([H])[H]
frag147,0,1,[H]O[O+]1OC([H])([H])C([H])([H])[C-]1[H]
