batch,fragname,confname,energy,enthalpy
batch1,frag1035,14,,
batch1,frag1080,79,,
batch1,frag1044,44,,
batch1,frag1163,15,,
batch1,frag1047,5,,
batch1,frag1009,31,,
batch1,frag1009,371,,
batch1,frag1026,32,,
batch1,frag1067,20,,
batch1,frag1050,69,,
batch1,frag110,20,,
batch1,frag1126,139,,
batch1,frag1093,225,,
batch1,frag1016,70,,
batch1,frag1021,39,,
batch1,frag1113,116,,
batch1,frag1131,21,,
batch1,frag1106,68,,
batch1,frag1057,62,,
batch1,frag1132,221,,
batch1,frag1094,54,,
batch1,frag1009,710,,
batch1,frag1083,3,,
batch1,frag1133,4,,
batch1,frag1011,3,,
batch1,frag1127,152,,
batch1,frag1009,229,,
batch1,frag1126,41,,
batch1,frag1032,192,,
batch1,frag1167,53,,
batch1,frag107,40,,
batch1,frag1061,8,,
batch1,frag1070,40,,
batch1,frag1157,11,,
batch1,frag1031,52,,
batch1,frag1090,12,,
batch1,frag1012,36,,
batch1,frag1029,18,,
batch1,frag1053,24,-0.019712501427,0.080675
batch1,frag1135,67,,
batch1,frag1009,648,,
batch1,frag1097,19,,
batch1,frag1031,216,,
batch1,frag1028,5,0.0120447309698,0.111944
batch1,frag1144,37,,
batch1,frag1022,74,,
batch1,frag1058,48,,
batch1,frag1137,44,,
batch1,frag1023,1,,
batch1,frag1101,6,,
batch1,frag1061,45,,
batch1,frag1009,699,,
batch1,frag1020,57,,
batch1,frag1003,33,,
batch1,frag1031,83,,
batch1,frag1031,101,,
batch1,frag1124,62,,
batch1,frag1081,17,,
batch1,frag1126,90,,
batch1,frag1004,38,,
batch1,frag1032,143,,
batch1,frag1138,0,,
batch1,frag1127,183,,
batch1,frag1126,194,,
batch1,frag1023,66,,
batch1,frag1079,9,,
batch1,frag1062,74,,
batch1,frag1084,9,,
batch1,frag1013,24,,
batch1,frag1138,12,,
batch1,frag1009,2,,
batch1,frag1052,36,,
batch1,frag1069,18,,
batch1,frag1131,108,,
batch1,frag1117,11,,
batch1,frag1112,3,,
batch1,frag1071,52,,
batch1,frag1030,4,,
batch1,frag1030,40,,
batch1,frag1082,26,,
batch1,frag1127,53,,
batch1,frag1163,69,,
batch1,frag1127,82,,
batch1,frag1158,47,,
batch1,frag1032,63,,
batch1,frag1044,38,,
batch1,frag108,16,,
batch1,frag1164,62,,
batch1,frag1119,7,,
batch1,frag1043,33,,
batch1,frag1129,17,0.0839249969135,0.182452
batch1,frag1112,39,,
batch1,frag1125,70,,
batch1,frag1106,14,,
batch1,frag1060,57,,
batch1,frag1002,6,-0.0219073728667,0.054714
batch1,frag1120,1,-0.0054181999333,0.06565
batch1,frag1021,45,,
batch1,frag1094,28,,
batch1,frag1050,15,,
batch1,frag1136,56,,
batch1,frag1093,23,,
batch1,frag1126,145,,
batch1,frag1113,86,,
batch1,frag1112,101,,
batch1,frag1009,255,,
batch1,frag1036,25,,
batch1,frag1090,6,,
batch1,frag1094,170,,
batch1,frag1132,10,,
batch1,frag1058,34,,
batch1,frag1019,26,,
batch1,frag1015,41,,
batch1,frag1054,0,-0.0221891917849,0.079049
batch1,frag1032,228,,
batch1,frag1009,634,,
batch1,frag1068,76,,
batch1,frag1029,64,,
batch1,frag1143,40,,
batch1,frag1009,193,,
batch1,frag1009,142,,
batch1,frag1127,239,,
batch1,frag1056,70,,
batch1,frag1061,39,,
batch1,frag1027,20,0.0188623702747,0.118323
batch1,frag1137,38,,
batch1,frag1112,216,,
batch1,frag1049,31,,
batch1,frag1008,23,,
batch1,frag1004,44,,
batch1,frag1009,284,,
batch1,frag113,4,,
batch1,frag1009,523,,
batch1,frag1016,9,,
batch1,frag109,78,,
batch1,frag1128,79,,
batch1,frag1079,73,,
batch1,frag1113,57,,
batch1,frag1144,5,,
batch1,frag1066,2,,
batch1,frag1062,73,,
batch1,frag1136,80,,
batch1,frag1014,28,,
batch1,frag1023,61,,
batch1,frag1126,193,,
batch1,frag1009,5,,
batch1,frag1052,31,,
batch1,frag1138,15,,
batch1,frag1013,23,,
batch1,frag1060,81,,
batch1,frag1093,149,,
batch1,frag1030,3,,
batch1,frag1030,47,,
batch1,frag1117,16,,
batch1,frag1071,55,,
batch1,frag1112,4,,
batch1,frag1127,54,,
batch1,frag1082,21,,
batch1,frag108,11,,
batch1,frag1127,85,,
batch1,frag1032,64,,
batch1,frag1158,40,,
batch1,frag1129,10,0.0831950753457,0.182061
batch1,frag1119,0,,
batch1,frag1043,34,,
batch1,frag1093,198,,
batch1,frag1125,77,,
batch1,frag1164,65,,
batch1,frag1021,42,,
batch1,frag1106,13,,
batch1,frag1002,1,-0.0219074107892,0.054716
batch1,frag1060,50,,
batch1,frag1057,19,,
batch1,frag1093,24,,
batch1,frag1126,142,,
batch1,frag1026,49,,
batch1,frag1131,218,,
batch1,frag1050,12,,
batch1,frag1136,51,,
batch1,frag1101,18,,
batch1,frag1112,106,,
batch1,frag1113,81,,
batch1,frag1031,29,,
batch1,frag1094,177,,
batch1,frag1090,1,,
batch1,frag1036,22,,
batch1,frag1167,28,,
batch1,frag1127,129,,
batch1,frag1009,252,,
batch1,frag1019,21,,
batch1,frag1015,46,,
batch1,frag1058,33,,
batch1,frag1132,17,,
batch1,frag1009,194,,
batch1,frag1143,47,,
batch1,frag1029,63,,
batch1,frag1009,633,,
batch1,frag1068,71,,
batch1,frag1054,7,-0.0167301855573,0.08363
batch1,frag1009,145,,
batch1,frag1056,77,,
batch1,frag1112,211,,
